"order_id","is_returned","order_sales","order_profit","has_high_discount"
AJ-2017-GG46509-42977,0,47.40,5.67,0
AJ-2017-GM44409-42790,0,33.36,12.66,0
AJ-2017-LW68259-43031,1,124.20,16.89,0
AJ-2017-MS73659-42989,0,133.20,23.97,0
AJ-2017-RD97209-42991,0,53.91,12.39,0
AJ-2017-SH99759-42994,1,29.76,3.27,0
AL-2014-EM38252-41943,0,77.16,6.63,0
AL-2014-MC81302-41950,0,11.28,2.01,0
AL-2014-SC102302-41700,0,1619.10,258.90,0
AL-2015-JD58952-42113,0,58.17,3.48,0
AL-2015-JD60152-42213,0,414.03,202.86,0
AL-2015-ML73952-42118,0,475.92,84.96,0
AL-2016-GA45152-42480,0,182.07,40.05,0
AL-2016-NC85352-42724,0,85.26,0.84,0
AL-2016-TT114602-42594,0,553.92,22.08,0
AL-2017-JB59252-42804,0,411.21,87.51,0
AM-2014-HM49806-41986,0,136.26,66.24,0
AM-2016-MG76956-42477,0,20.49,2.85,0
AO-2014-AA4804-41810,0,386.52,16.89,0
AO-2014-BS18004-41921,0,1426.56,158.16,0
AO-2014-DK31504-41671,0,206.40,92.88,0
AO-2014-GK46204-41645,0,28.32,12.72,0
AO-2014-HZ49504-41647,0,2478.60,49.50,0
AO-2014-JK53704-41987,0,415.26,137.19,0
AO-2014-MA79954-41659,0,921.87,369.69,0
AO-2014-RO97804-41835,0,515.76,163.14,0
AO-2014-RP98554-41977,0,28.56,11.04,0
AO-2014-SW104554-41673,0,9.06,4.50,0
AO-2015-CA23104-42225,0,4.80,2.19,0
AO-2015-CC24754-42342,0,199.41,76.95,0
AO-2015-DH30754-42323,0,137.25,37.77,0
AO-2015-DK32254-42341,0,433.32,32.28,0
AO-2015-DL34954-42026,0,163.02,5.64,0
AO-2015-HJ48754-42276,0,183.51,67.08,0
AO-2015-JC53404-42206,0,106.56,43.68,0
AO-2015-JE57454-42274,0,499.23,106.59,0
AO-2015-LH69004-42320,0,636.15,311.70,0
AO-2015-MG82054-42168,0,206.40,57.39,0
AO-2015-MO75004-42267,0,40.98,5.73,0
AO-2015-RD95854-42358,0,263.73,113.40,0
AO-2015-SF102004-42358,0,298.62,83.52,0
AO-2016-AS2854-42526,0,910.56,152.10,0
AO-2016-BP12904-42731,0,65.16,11.70,0
AO-2016-CM26554-42457,0,93.84,31.80,0
AO-2016-CW19054-42673,0,112.50,26.82,0
AO-2016-GM45004-42710,0,2947.56,812.04,0
AO-2016-HG48454-42594,0,209.79,72.18,0
AO-2016-IG50854-42668,1,1313.94,410.52,0
AO-2016-JH59854-42735,0,848.40,322.32,0
AO-2016-JK60904-42518,0,67.20,25.68,0
AO-2016-JP54604-42714,0,112.50,35.43,0
AO-2016-LC69604-42688,0,531.93,149.31,0
AO-2016-LW71254-42695,0,652.68,169.68,0
AO-2016-MM79204-42687,0,8.79,3.33,0
AO-2016-RE94054-42714,0,28.38,5.64,0
AO-2016-SC103054-42673,0,16.32,2.28,0
AO-2017-AH5854-42882,0,841.29,409.95,0
AO-2017-AJ9454-42962,0,38.58,2.28,0
AO-2017-AZ7504-42972,0,61.02,23.52,0
AO-2017-BD17254-42883,0,1877.16,525.60,0
AO-2017-BE14554-42954,1,937.77,350.31,0
AO-2017-DC28504-42785,0,586.98,99.78,0
AO-2017-DR29404-43061,0,29.40,9.00,0
AO-2017-DV34654-43057,0,63.42,17.91,0
AO-2017-EP39154-43025,0,144.48,45.00,0
AO-2017-GM45004-42996,1,616.50,85.98,0
AO-2017-JF54154-43003,0,51.93,14.79,0
AO-2017-JM56554-42978,0,324.51,50.49,0
AO-2017-KD63454-43043,0,193.68,11.52,0
AO-2017-KL66454-43100,0,126.72,20.16,0
AO-2017-LC69304-42989,0,30.36,0.60,0
AO-2017-LC70504-42875,0,586.98,117.54,0
AO-2017-LM70654-43045,0,795.60,222.72,0
AO-2017-RM93754-43079,0,333.66,159.81,0
AO-2017-RW95404-43074,0,196.35,55.50,0
AO-2017-SC100204-42836,0,48.00,15.84,0
AO-2017-SK99904-42748,0,103.26,46.68,0
AO-2017-TB113554-42837,0,56.91,19.53,0
AU-2014-AG6758-41883,0,922.95,341.49,0
AU-2014-BS15908-41748,0,109.95,12.09,0
AU-2014-DS30308-41868,0,7.80,1.23,0
AU-2014-JL51308-41848,0,59.58,16.29,0
AU-2014-LR70358-41725,0,542.67,17.28,0
AU-2014-PM89408-41763,0,102.99,26.55,0
AU-2015-AM3608-42360,0,524.40,104.88,0
AU-2015-EH41858-42166,0,137.16,0.00,0
AU-2015-GM45008-42306,0,281.40,54.57,0
AU-2015-LA67808-42201,0,266.40,47.94,0
AU-2015-LB67958-42167,0,855.36,213.84,0
AU-2015-SK99908-42106,0,1226.31,343.74,0
AU-2015-SV108158-42359,0,139.77,6.18,0
AU-2016-AC6158-42639,1,253.80,82.05,0
AU-2016-AG4958-42556,0,8.40,0.06,0
AU-2016-AH5858-42475,0,174.33,71.46,0
AU-2016-CK23258-42665,0,74.16,20.70,0
AU-2016-JM55808-42457,0,114.78,7.98,0
AU-2016-LE68108-42443,0,56.16,11.34,0
AU-2016-MO75008-42602,0,97.74,28.32,0
AU-2016-SN107108-42455,0,458.94,167.88,0
AU-2017-AG7658-42986,0,684.39,276.93,0
AU-2017-BT16808-42918,0,96.60,11.58,0
AU-2017-CA19658-42973,0,636.72,206.04,0
AU-2017-DA34508-43086,0,719.88,64.68,0
AU-2017-DD35708-42820,0,26.40,7.08,0
AU-2017-DH36758-42783,0,249.18,107.10,0
AU-2017-EB39758-43065,0,331.56,90.75,0
AU-2017-FM42158-42981,0,706.08,253.26,0
AU-2017-GB45308-42930,0,116.04,34.98,0
AU-2017-MD78608-42974,0,607.68,32.01,0
AU-2017-MK79058-42951,0,28.38,5.64,0
AU-2017-PF91208-42912,1,588.90,168.87,0
AU-2017-SU106658-42814,0,170.19,64.65,0
BA-2016-ES408010-42633,0,669.18,12.84,0
BK-2014-EB375017-41974,1,349.20,108.24,0
BK-2015-CM265517-42084,0,48.96,16.14,0
BK-2015-NW840017-42222,0,941.49,316.92,0
BK-2016-GT471017-42542,0,331.08,72.18,0
BK-2017-ME732017-42967,0,233.76,30.24,0
BK-2017-ML775517-43074,0,93.00,19.44,0
BK-2017-PG882017-42778,0,356.40,49.89,0
BK-2017-RS987017-42777,0,245.37,47.13,0
BN-2014-BS159015-41756,0,11.55,2.76,0
BN-2014-DO343515-41902,0,1434.72,297.72,0
BN-2014-JK520515-41902,0,620.64,43.44,0
BN-2014-NB865515-41668,0,43.92,16.23,0
BN-2014-RW963015-41946,0,546.00,247.44,0
BN-2015-AA37515-42110,0,27.06,8.34,0
BN-2015-AS22515-42327,0,75.24,5.16,0
BN-2015-CC267015-42184,0,17.04,4.26,0
BN-2015-HZ495015-42254,0,20.19,6.66,0
BN-2016-BP109515-42734,0,363.72,24.78,0
BN-2016-CY274515-42608,0,70.89,21.36,0
BN-2016-KB631515-42635,0,30.48,2.73,0
BN-2016-KD649515-42702,1,875.52,152.04,0
BN-2016-SW1045515-42584,0,53.70,0.00,0
BN-2017-AS1009015-43079,0,26.67,1.05,0
BN-2017-GH441015-42803,0,39.36,7.86,0
BN-2017-MB730515-42899,0,118.80,49.80,0
BN-2017-PF916515-43066,0,1187.16,252.36,0
BN-2017-RS942015-42889,0,257.22,31.08,0
BN-2017-TB1135515-42794,0,17.52,5.43,0
BN-2017-TH1111515-42776,0,319.98,143.97,0
BN-2017-TP1156515-42997,0,6.03,1.86,0
BN-2017-TS1143015-42982,0,48.66,22.86,0
BO-2014-DK283513-41879,0,31.95,11.82,0
BO-2014-ES402013-41877,0,106.08,11.82,0
BO-2014-RB957013-41963,0,124.95,39.78,0
BO-2014-SS1059013-41862,0,55.92,16.44,0
BO-2015-AM70513-42208,0,411.45,202.26,0
BO-2015-BT130513-42035,0,33.12,1.98,0
BO-2015-CS217513-42253,0,1799.01,762.09,0
BO-2015-DJ363013-42091,0,194.34,71.88,0
BO-2015-GH441013-42232,0,233.58,81.87,0
BO-2015-JK573013-42258,0,267.54,79.44,0
BO-2015-LC714013-42352,1,9.60,4.38,0
BO-2015-MM828013-42167,0,67.44,24.24,0
BO-2015-NR855013-42163,0,237.57,93.36,0
BO-2015-TZ1144513-42238,0,50.28,0.99,0
BO-2016-AF87013-42546,0,119.28,35.76,0
BO-2016-HW493513-42568,0,123.24,3.69,0
BO-2016-KB624013-42682,0,146.55,54.99,0
BO-2016-KH636013-42590,0,335.97,93.78,0
BO-2016-ML826513-42715,0,22.92,5.94,0
BO-2016-PJ883513-42680,0,97.62,17.28,0
BO-2016-PO918013-42560,0,8.31,0.66,0
BO-2016-RD966013-42689,0,52.86,4.74,0
BO-2017-AA31513-42891,0,756.60,332.88,0
BO-2017-CD279013-42892,0,8.82,0.00,0
BO-2017-DB291013-42745,1,792.60,352.77,0
BO-2017-DL331513-42997,0,114.54,27.60,0
BO-2017-DS303013-42773,0,798.84,351.36,0
BO-2017-EB411013-43080,0,254.58,54.18,0
BO-2017-JF549013-42986,0,335.28,11.70,0
BO-2017-KA652513-43007,1,437.97,144.24,0
BO-2017-LC705013-43094,0,10.74,3.96,0
BO-2017-ME732013-42912,0,50.73,16.23,0
BO-2017-ML741013-42931,0,21.21,6.24,0
BO-2017-MS798013-42822,0,171.66,23.88,0
BO-2017-MZ733513-42777,0,2757.78,744.48,0
BO-2017-PB910513-42889,0,645.72,189.69,0
BO-2017-PB915013-42903,0,1409.22,549.66,0
BO-2017-TC1114513-42911,0,140.22,43.68,0
BO-2017-TS1165513-42796,0,18.84,9.21,0
BO-2017-TW1102513-42924,0,38.76,18.18,0
BO-2017-TW1102513-42955,0,10.32,4.53,0
BO-2017-VG1179013-42953,0,82.08,30.60,0
BU-2014-DE325519-41949,0,1272.60,279.96,0
BU-2014-EH394519-41995,0,638.91,229.98,0
BU-2014-HR477019-41844,0,298.38,52.83,0
BU-2014-ME772519-41856,0,98.85,38.43,0
BU-2014-VS1182019-41768,0,395.61,174.96,0
BU-2015-AH1003019-42206,0,193.77,22.32,0
BU-2015-EK379519-42323,0,48.45,12.09,0
BU-2015-JC534019-42328,0,178.65,39.69,0
BU-2015-JD579019-42282,0,56.46,14.10,0
BU-2015-JO528019-42156,1,360.42,147.84,0
BU-2015-MH745519-42250,0,1754.40,378.66,0
BU-2015-MT807019-42335,0,85.50,18.78,0
BU-2015-PC874519-42309,0,17.37,5.49,0
BU-2015-PF912019-42202,0,14.82,6.66,0
BU-2015-RD972019-42026,0,317.16,122.70,0
BU-2015-RH955519-42253,0,58.83,22.35,0
BU-2015-RM937519-42175,0,731.91,273.06,0
BU-2016-AS24019-42602,0,45.09,22.53,0
BU-2016-CM265519-42462,0,114.60,46.80,0
BU-2016-CS186019-42724,0,309.78,126.51,0
BU-2016-DH367519-42622,0,79.98,15.06,0
BU-2016-JK537019-42624,0,456.21,187.98,0
BU-2016-LF718519-42679,0,59.58,13.08,0
BU-2016-LF718519-42721,0,121.26,33.24,0
BU-2016-MH745519-42400,0,197.37,21.27,0
BU-2016-PB921019-42693,0,74.52,5.94,0
BU-2016-PC874519-42685,1,891.99,423.93,0
BU-2016-RE940519-42596,0,74.34,33.66,0
BU-2016-TH1110019-42685,0,1151.28,182.43,0
BU-2016-TT1122019-42571,0,6.12,0.24,0
BU-2016-VT1170019-42527,0,511.68,92.04,0
BU-2017-BD162019-42956,0,533.10,235.80,0
BU-2017-CA226519-42893,0,2357.34,158.28,0
BU-2017-CC247519-43045,0,464.40,133.17,0
BU-2017-CJ187519-42986,0,249.57,4.98,0
BU-2017-DP310519-42924,1,99.60,11.94,0
BU-2017-GD459019-42748,0,391.86,90.12,0
BU-2017-JL513019-42903,0,70.47,3.51,0
BU-2017-KM637519-42779,0,330.33,101.40,0
BU-2017-LH715519-42853,0,84.84,12.72,0
BU-2017-MH802519-42795,0,360.24,126.06,0
BY-2014-MV748520-41761,0,50.70,22.80,0
BY-2015-KA652520-42322,0,217.02,80.28,0
CA-2014-AA10315140-41728,0,726.55,267.42,1
CA-2014-AA10315140-41896,0,29.50,13.28,0
CA-2014-AA10375140-41749,0,16.52,5.58,1
CA-2014-AA10375140-41935,0,34.27,11.14,1
CA-2014-AA10480140-41762,1,27.46,9.89,0
CA-2014-AA10645140-41811,0,1106.77,-20.04,1
CA-2014-AA10645140-41973,0,327.56,97.68,0
CA-2014-AB10015140-41689,0,12.62,-2.52,1
CA-2014-AB10015140-41704,0,309.59,15.00,1
CA-2014-AB10105140-41992,0,1107.66,498.52,0
CA-2014-AB10150140-41702,1,705.56,261.20,1
CA-2014-AB10255140-41841,0,19.68,6.49,0
CA-2014-AB10600140-41960,0,14.48,-23.89,1
CA-2014-AC10420140-41831,0,706.06,-14.66,1
CA-2014-AD10180140-41961,0,5.88,1.98,1
CA-2014-AF10885140-41768,0,372.29,-211.68,1
CA-2014-AF10885140-41893,0,63.92,-46.88,1
CA-2014-AG10270140-41771,0,55.50,9.99,0
CA-2014-AG10270140-41842,0,99.98,8.00,0
CA-2014-AG10300140-41754,0,248.57,28.75,1
CA-2014-AG10390140-41747,0,129.33,60.91,0
CA-2014-AG10390140-41884,0,14.40,7.06,0
CA-2014-AG10525140-41859,0,193.93,27.74,1
CA-2014-AG10525140-41883,0,559.71,-121.27,1
CA-2014-AH10030140-41750,0,257.75,124.79,1
CA-2014-AH10030140-41771,0,287.46,24.80,1
CA-2014-AH10030140-42003,0,53.67,20.16,0
CA-2014-AH10075140-41958,0,5.22,2.40,0
CA-2014-AH10120140-41837,0,259.14,-25.91,1
CA-2014-AH10210140-41971,0,606.32,87.19,1
CA-2014-AH10585140-41937,0,447.88,41.60,1
CA-2014-AH10690140-41730,0,177.68,46.20,0
CA-2014-AH19523-41859,0,87.84,29.70,0
CA-2014-AI10855140-41756,0,1679.96,126.00,1
CA-2014-AI10855140-41768,1,201.73,81.84,1
CA-2014-AI10855140-42001,0,408.77,80.40,1
CA-2014-AJ10780140-41650,0,54.83,22.66,0
CA-2014-AJ10780140-41942,0,1421.66,-734.53,1
CA-2014-AJ10780140-42000,0,2583.19,654.92,0
CA-2014-AJ10795140-41772,0,310.88,23.32,1
CA-2014-AJ10795140-42001,0,1365.63,479.94,1
CA-2014-AJ10945140-41700,0,19.46,3.40,1
CA-2014-AJ10960140-41895,0,460.22,14.07,0
CA-2014-AJ10960140-42002,0,158.39,43.59,1
CA-2014-AM10360140-41917,0,15.36,7.68,0
CA-2014-AM10705140-41942,1,2116.51,472.09,1
CA-2014-AP10720140-41700,0,161.07,54.65,1
CA-2014-AP10915140-41873,0,424.37,98.59,1
CA-2014-AP10915140-41910,0,968.30,299.03,1
CA-2014-AP10915140-41935,0,11.85,3.79,0
CA-2014-AP10915140-41953,1,143.13,19.18,1
CA-2014-AR10405140-41914,0,265.78,17.35,1
CA-2014-AR10510140-41760,0,26.14,1.96,1
CA-2014-AR10540140-41967,0,52.96,20.12,0
CA-2014-AR10825140-41819,0,32.40,10.37,0
CA-2014-AS10090140-41903,0,693.99,125.92,1
CA-2014-AS10090140-41996,0,13.97,3.63,0
CA-2014-AS10225140-41929,0,2216.80,444.69,0
CA-2014-AS10240140-41712,0,370.79,33.61,1
CA-2014-AS10240140-41922,0,7.64,3.74,0
CA-2014-AS10630140-41851,0,5.68,1.92,1
CA-2014-AS10630140-41979,0,269.36,70.03,0
CA-2014-AS24023-41902,0,4.80,1.44,0
CA-2014-AT10435140-41966,0,5.74,-4.59,1
CA-2014-AT10435140-41999,0,11.56,5.43,0
CA-2014-AT10735140-41880,0,121.24,21.48,0
CA-2014-AT10735140-41945,0,147.35,49.73,1
CA-2014-AY10555140-41734,1,199.99,64.50,0
CA-2014-AY10555140-41998,0,8.02,1.10,1
CA-2014-AZ10750140-41714,0,25.18,7.65,1
CA-2014-AZ10750140-41722,0,366.79,65.21,0
CA-2014-BB10990140-41846,0,276.28,0.00,0
CA-2014-BC11125140-41825,0,478.48,47.85,1
CA-2014-BC11125140-41894,0,340.12,-9.72,1
CA-2014-BD11500140-41672,0,468.90,206.32,0
CA-2014-BD11605140-41653,0,1679.75,249.15,0
CA-2014-BD11620140-41819,0,310.69,108.74,1
CA-2014-BD11635140-41916,0,91.92,11.49,1
CA-2014-BF10975140-41833,0,17.94,4.49,0
CA-2014-BF10975140-41851,0,202.89,57.64,1
CA-2014-BF11005140-41906,0,14.58,2.37,1
CA-2014-BF11020140-41686,0,21.36,7.21,1
CA-2014-BF11080140-41970,0,14.67,3.96,0
CA-2014-BF11170140-41741,0,7.83,3.60,0
CA-2014-BF11170140-41831,0,505.69,73.75,1
CA-2014-BF11215140-41951,0,56.52,21.48,0
CA-2014-BF11275140-41719,0,388.70,-12.12,1
CA-2014-BG11035140-41978,0,42.21,13.72,1
CA-2014-BG11695140-41769,0,35.91,9.70,0
CA-2014-BG11740140-41720,0,9.91,3.22,1
CA-2014-BH11710140-41798,0,3714.29,300.78,1
CA-2014-BK11260140-41853,0,163.62,51.15,0
CA-2014-BM11140140-41889,1,10539.90,-1878.79,1
CA-2014-BM11650140-41828,0,24.72,8.12,1
CA-2014-BM11650140-41902,0,68.71,21.52,0
CA-2014-BM11785140-41795,0,13.36,4.94,0
CA-2014-BM11785140-41883,0,475.94,95.19,1
CA-2014-BM11785140-41986,0,186.30,13.97,1
CA-2014-BM165023-41946,0,17.19,6.51,0
CA-2014-BN11470140-41893,0,192.43,24.68,1
CA-2014-BN11515140-41714,0,249.92,108.19,0
CA-2014-BN11515140-41898,0,260.79,77.18,1
CA-2014-BP11095140-41920,0,88.77,31.07,1
CA-2014-BP11095140-41949,0,36.10,16.72,0
CA-2014-BP11095140-41991,0,832.14,104.48,1
CA-2014-BP11230140-41748,0,59.92,27.56,0
CA-2014-BP11290140-41914,0,258.28,-70.10,1
CA-2014-BS11365140-41900,0,887.10,177.42,0
CA-2014-BS11590140-41654,1,61.96,-53.29,1
CA-2014-BS11590140-41875,1,30.25,-23.54,1
CA-2014-BS11590140-41977,0,1280.99,174.29,1
CA-2014-BS11665140-41812,0,86.38,1.08,1
CA-2014-BS11755140-41776,0,779.80,-168.96,1
CA-2014-BS11755140-41853,0,221.35,-161.59,1
CA-2014-BT11305140-41753,1,2061.01,290.89,1
CA-2014-BT11395140-41939,1,257.98,74.81,0
CA-2014-BT11440140-41793,0,440.05,-12.37,1
CA-2014-BT11440140-41965,0,14.67,6.75,0
CA-2014-BT11530140-41779,0,31.84,10.51,0
CA-2014-BT11530140-41994,0,216.40,56.26,0
CA-2014-BT11680140-41970,0,998.85,-199.77,1
CA-2014-BW11065140-41783,0,14.62,6.73,0
CA-2014-BW111023-41814,0,17.01,7.14,0
CA-2014-BW11200140-41862,0,891.78,82.01,1
CA-2014-CA11965140-41666,0,152.64,44.77,0
CA-2014-CA12265140-41722,0,92.36,31.46,0
CA-2014-CA12775140-41817,1,1639.72,106.72,1
CA-2014-CA12775140-41895,0,26.13,5.07,1
CA-2014-CB12025140-41718,0,13.46,2.79,1
CA-2014-CB12025140-41959,0,7.08,2.48,1
CA-2014-CC12100140-41988,0,1308.20,142.85,1
CA-2014-CC12145140-41839,0,176.49,78.74,1
CA-2014-CC12220140-41890,0,10.90,3.41,1
CA-2014-CC12220140-41915,0,589.41,-6.55,0
CA-2014-CC12220140-41956,0,32.40,15.55,0
CA-2014-CC12610140-41877,0,1812.01,481.45,0
CA-2014-CC12670140-41995,0,619.84,11.25,1
CA-2014-CC222023-41813,0,20.07,7.50,0
CA-2014-CC247523-41761,0,701.46,77.10,0
CA-2014-CD11920140-41721,0,24.90,11.70,0
CA-2014-CD12790140-41673,0,12.35,5.80,0
CA-2014-CD12790140-41999,0,107.35,34.37,1
CA-2014-CK12205140-41708,0,18.78,3.99,1
CA-2014-CK12205140-41805,0,115.95,44.30,1
CA-2014-CK12205140-41847,0,193.15,34.70,1
CA-2014-CK12325140-41791,0,133.13,41.44,1
CA-2014-CK12595140-41998,0,15.39,1.23,0
CA-2014-CK12760140-41678,0,115.36,49.60,0
CA-2014-CK12760140-41981,0,34.68,16.99,0
CA-2014-CL12565140-41701,0,354.90,17.75,0
CA-2014-CL12565140-41831,0,134.40,17.65,1
CA-2014-CL12565140-41883,0,21.24,8.07,0
CA-2014-CL12565140-41891,0,1508.77,156.30,1
CA-2014-CM11815140-41956,0,20.74,7.26,1
CA-2014-CM11815140-42003,0,49.57,17.97,1
CA-2014-CM12445140-41798,0,30.46,10.78,0
CA-2014-CM12715140-41704,0,1143.82,85.52,1
CA-2014-CM12715140-41907,0,68.53,3.29,1
CA-2014-CM12715140-41921,0,1488.77,117.41,1
CA-2014-CP12085140-41976,0,129.98,62.39,0
CA-2014-CR12625140-41790,0,334.68,104.79,0
CA-2014-CR12730140-41870,0,421.37,-6.02,1
CA-2014-CS11845140-41986,0,9.26,-13.90,1
CA-2014-CS11860140-41760,0,479.98,90.00,1
CA-2014-CS12130140-41855,0,472.04,84.36,1
CA-2014-CS12175140-41862,0,196.21,98.11,0
CA-2014-CS12250140-41653,0,1287.26,326.57,0
CA-2014-CS12250140-41970,0,542.34,110.84,0
CA-2014-CS12355140-41865,0,306.54,77.03,1
CA-2014-CS12400140-41907,0,310.12,80.63,0
CA-2014-CS12505140-41723,0,18.75,9.00,0
CA-2014-CS195023-41779,0,28.23,0.00,0
CA-2014-CT11995140-41765,0,1091.35,215.82,1
CA-2014-CT11995140-41992,0,596.67,69.88,1
CA-2014-CV12295140-41883,0,239.98,53.99,1
CA-2014-CW11905140-41798,0,142.34,17.16,1
CA-2014-Co12640140-41971,0,5.04,1.76,1
CA-2014-Co12640140-41999,0,62.97,-16.77,1
CA-2014-DA13450140-41907,0,52.75,12.82,1
CA-2014-DB12910140-41935,0,10.37,3.63,1
